File ID,FWHM_x_min,FWHM_x_max,FWHM_x_mean,FWHM_y_min,FWHM_y_max,FWHM_y_mean
0,0.002380952380952381,3.488095238095238,1.25625,0.0,3.1785714285714284,1.246674225245654
1,0.04047619047619048,3.573809523809524,1.414174107142857,0.0,3.854761904761905,1.4361678004535146
2,0.888095238095238,7.876190476190477,3.751190476190476,0.38095238095238093,8.404761904761905,3.441207349081365
3,0.011904761904761904,3.119047619047619,1.2033110119047619,0.002380952380952381,3.585714285714286,1.405026455026455
4,0.5666666666666667,8.576190476190476,3.9633556547619047,0.4357142857142857,8.021428571428572,3.506224221972253
5,0.07380952380952381,3.676190476190476,1.3796130952380952,0.009523809523809525,3.5547619047619046,1.4497354497354498
6,0.6976190476190476,8.25952380952381,3.6967447916666667,0.04523809523809524,8.447619047619048,3.417041619797525
7,0.0,3.645238095238095,1.3299107142857143,0.0,3.9285714285714284,1.5015873015873016
8,0.03571428571428571,3.573809523809524,1.4174225245653815,0.002380952380952381,3.8190476190476192,1.5772108843537416
9,0.9523809523809523,8.497619047619047,3.9546502976190476,0.02142857142857143,8.416666666666666,3.398781402324709
10,0.007142857142857143,3.454761904761905,1.4000744047619047,0.0,3.7928571428571427,1.5169312169312168
11,0.05,3.261904761904762,1.197842261904762,0.03333333333333333,3.5166666666666666,1.5381708238851095
