File ID,SNR,SFNR,FWHM_space,FWHM_time,RDC_space,RDC_time,perAF,Uniformity,Ghosting,Entropy,Sharpness,Contrast,Signal Homogeneity
0,4.601090082870397,4.6186626340006125,51.473401099118725,3.6117416693239797,1.3212949014076394,0.22335877710459184,0.973215122939999,0.5090403399603066,220.52214663643235,2.2671625271159686,12.736135178781728,63.58392901123947,0.0006232305565253208
1,15.042043530361795,15.099474450176443,61.096418543921615,1.6452686543367347,1.392111621227167,0.2781359614158163,0.5897672472002364,0.5982076889517902,208.19625850340137,2.5634995918399124,99.44060447882374,541.2857743908181,8.290509112796952e-05
2,8.771346265759865,8.825637065508555,94.98859959848282,2.285953443877551,1.3770442873335886,0.19105374083227042,0.8017650543457976,0.4452183706757416,461.96213151927435,1.9404131849543726,51.65903070949536,429.4435475529153,0.00013441473185998745
3,12.697609414340596,12.752296491642982,64.78503247843284,1.9431999362244898,1.6222344035189504,0.2763073979591837,0.6951345319807652,0.5905750564899223,213.9111111111111,2.577830723511239,122.59715648834826,529.2347564383876,7.383677760684511e-05
4,7.094137939226224,7.149081573295364,96.17177626731423,6.382392727598852,1.2235088136787498,0.180908203125,0.6913447793083584,0.42724827366613605,463.1363945578231,1.8788525626310013,39.53858121305491,338.6118242724093,0.0001483398822468638
5,12.32902846432499,12.367914860869163,63.59343077498085,5.445452008928571,1.4390722395419098,0.2711704799107143,0.6670973318458551,0.5786084607863305,229.00132275132276,2.5166536529926304,85.16680223616882,417.6566872055233,8.181059585937476e-05
6,13.810715022632358,13.899010584220504,87.60492211704907,0.7712975326849489,1.2338629392905271,0.16503158880739796,0.3315287933541827,0.3969086414087681,424.1930839002268,1.8370298728689964,44.823248439669385,435.56260247364025,0.00016180326077432463
7,15.948153803345257,16.01024248824364,59.03543334731734,0.4192741549744898,1.5252793242651062,0.2473194355867347,0.41934909449796964,0.5450241455329417,190.48722600151171,2.4421457156050907,94.40818479554059,534.1981963099042,8.773816610156056e-05
8,8.563556767993742,8.58991978573114,60.9363060446011,12.091951331313776,1.4153830018145985,0.2675731425382653,0.8361639112649557,0.5801295734845572,200.68439153439152,2.4491828527126955,80.65699682022957,416.84091703304864,8.454763356430935e-05
9,7.251157768899282,7.298380203313857,92.33144565375638,5.765104332748725,1.3010548029140998,0.17447833625637754,0.605390546595627,0.42544148403165727,437.27454648526077,1.794026504622874,36.51955498782714,337.5054845312393,0.0001539746338697497
10,14.124897210513383,14.168774450653041,60.429789578909805,5.457225566007653,1.4738685237560627,0.26963089923469385,0.5902113450485444,0.5801353313642652,221.28514739229024,2.512693733190368,70.84658184813449,393.518065575781,8.738875942322961e-05
11,15.442401178517692,15.50502821256833,63.6265242952555,1.964764030612245,1.4102323005313795,0.28896783322704084,0.5798253378405545,0.6150733936197553,229.43185941043083,2.5698066057918503,103.62965649845202,443.29976060735646,7.262977472215268e-05
