File ID,FWHM_x_min,FWHM_x_max,FWHM_x_mean,FWHM_y_min,FWHM_y_max,FWHM_y_mean
0,0.75,8.311904761904762,4.069215029761905,0.2833333333333333,8.202380952380953,3.450262467191601
1,0.007142857142857143,3.5619047619047617,1.2688616071428571,0.0,3.5785714285714287,1.4169312169312172
2,0.6833333333333333,8.454761904761904,3.6905691964285716,0.24761904761904763,8.040476190476191,3.428552680914885
3,0.326007326007326,8.554945054945055,3.9533682463369964,0.0,8.364468864468865,3.369155778604598
4,0.0,3.4023809523809523,1.3510044642857142,0.0,3.8523809523809525,1.3965608465608466
5,0.8357142857142857,7.954761904761905,3.958723958333333,0.02619047619047619,8.15,3.2965316835395577
6,0.44285714285714284,8.407142857142857,3.7679501488095237,0.14047619047619048,8.021428571428572,3.2965316835395573
7,0.0,3.7071428571428573,1.273921130952381,0.002380952380952381,3.388095238095238,1.3987150415721845
8,0.13095238095238096,3.7547619047619047,1.4613095238095237,0.0,3.8666666666666667,1.4622826908541195
9,1.119047619047619,7.995238095238095,4.158519345238095,0.13095238095238096,7.883333333333334,3.0495313085864266
