File ID,SNR,SFNR,FWHM_space,FWHM_time,RDC_space,RDC_time,perAF,Uniformity,Ghosting,Entropy,Sharpness,Contrast,Signal Homogeneity
0,4.428886337560487,4.455356647428328,96.01263659012002,9.160162478077169,1.285536131535972,0.18051085180165816,1.061326857116216,0.4314983769044276,472.5291950113379,1.8686250360610022,37.64897569993362,321.53740331613585,0.00014474441034598235
1,2.512493133840991,2.5247852178259778,61.17136840146017,14.54866868622449,1.5855915164499095,0.26052295918367346,3.663563813844534,0.5525506920499663,213.8604686318972,2.4733140663051922,90.73013704346121,412.5847421350544,8.003178663858719e-05
2,1.842806246093038,1.8507882465247265,84.95177018602642,14.333935795998087,1.3172383763176423,0.17303466796875,1.6936039296957202,0.403190850366198,499.2055555555556,1.80940348101825,44.13026908418047,333.8861518137893,0.0001460701730297085
3,14.246001037256368,15.506957089068942,93.64524075896007,0.10464539819834184,1.2731856164072604,0.17829988440688777,0.3230509217391508,0.4294566235437765,458.78100470957617,1.8649281555047912,37.099029561077465,361.4485119386519,0.00015312309302242816
4,3.163354021615127,3.183484326850669,56.205537711333875,15.294079838966837,1.3932039991473097,0.24323381696428573,3.226607169642358,0.5126267074023093,185.03681027966743,2.321011261956275,63.61049765875175,401.376634393336,0.00010558478662141504
5,1.7797053565256058,1.7868607364772964,87.36192637642493,7.602783203125,1.2952144039881264,0.16437888632015307,3.1165738508819985,0.37993221003494143,416.8751700680272,1.7500958505978041,33.90423642387749,318.1499251334927,0.0001785410370796353
6,3.6727191421641483,3.695399119668235,91.53708595944373,9.517231843909439,1.1793750797289915,0.17527303890306123,1.1590335552895528,0.4207525990484182,428.14206349206347,1.8357626740992177,33.31503418006154,310.5384597895278,0.00016071924762303815
7,6.448918362553278,6.473547923341766,62.267991274534694,11.646065848214286,1.368693435477669,0.278140943877551,1.3477201426241996,0.5918595930884769,217.14750566893423,2.576685698621988,87.32570467784203,415.99846604010935,7.966044088067158e-05
8,5.26627304125806,5.286938801820946,59.552409097383986,18.279252032844386,1.4225471592923324,0.2592275191326531,1.2593402684950348,0.5611518350089895,213.58544973544974,2.421015235555211,64.37721098377973,386.58915181262097,9.438391601013384e-05
9,1.7868395238534445,1.7958952462786506,80.84308197350688,8.655693209901148,1.1197690710980812,0.14701251594387754,1.9261316899575331,0.35593446736583007,380.5384353741497,1.6521135649715821,32.03817600873776,301.98029656993134,0.00019563030531516873
